left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 134.1744
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 134.1744
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 134.1744
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 134.1744
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 134.1744
10.0000
left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 2895.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 1431.1331
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 718.5852
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 367.0559
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 192.4649
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 105.4613
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 62.0323
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 40.3359
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 29.4923
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 24.0716
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 21.3616
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 20.0066
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 19.3291
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.9904
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.8211
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.7364
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6940
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6729
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6623
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6570
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6543
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6530
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6524
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6520
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6519
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6518
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 18.6517
10.0000
left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 26834.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 21233.2212
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 18592.4638
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 17309.2023
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 16676.5288
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 16362.3928
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 16205.8701
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 16127.7446
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 16088.7157
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 16069.2097
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 16059.4588
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 16054.5839
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16052.1466
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16050.9279
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16050.3186
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16050.0140
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.8617
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7855
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7474
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7284
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7189
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7141
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7117
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7105
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7099
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7096
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7095
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7094
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7094
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7094
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 16049.7093
10.0000
left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 100.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 89.1836
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 84.0810
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 81.6007
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 80.3777
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 79.7705
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 79.4679
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 79.3168
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 79.2414
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 79.2037
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 79.1848
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 79.1754
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1707
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1683
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1671
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1666
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1663
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1661
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
